"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150553 Parauapebas";13;31;35;58;21;11;1;3;4;8;28;43;256
"150555 Pau D'Arco";-;6;14;13;7;10;2;-;2;-;-;-;54
"150560 Peixe-Boi";-;-;-;-;-;1;-;-;1;-;-;-;2
"150570 Ponta de Pedras";-;1;1;1;1;-;-;-;-;-;-;-;4
"150580 Portel";-;-;1;1;-;-;-;-;-;-;-;-;2
"150600 Prainha";-;-;1;-;-;-;-;-;-;-;-;-;1
"150610 Primavera";2;-;-;-;1;-;-;-;-;-;-;-;3
"150611 Quatipuru";-;-;8;5;3;1;1;-;1;-;1;3;23
"150613 Redenção";12;24;24;7;3;1;1;2;2;-;-;1;77
"150616 Rio Maria";-;-;1;3;1;-;-;-;-;-;-;-;5
"150618 Rondon do Pará";3;-;-;4;-;-;-;-;-;3;20;28;58
"150620 Salinópolis";-;-;-;-;3;-;1;3;-;-;1;-;8
"150635 Santa Bárbara do Pará";2;1;3;-;-;-;-;-;-;-;1;-;7
"150650 Santa Izabel do Pará";6;-;-;-;-;-;-;-;-;-;-;-;6
"150655 Santa Luzia do Pará";-;2;1;3;1;1;-;2;-;-;-;-;10
"150658 Santa Maria das Barreiras";1;10;7;16;1;-;-;-;-;-;-;-;35
"150660 Santa Maria do Pará";-;10;1;7;12;-;-;-;-;-;-;-;30
"150670 Santana do Araguaia";-;-;1;-;-;1;-;-;-;-;-;-;2
"150680 Santarém";4;3;12;4;3;4;3;7;1;-;-;-;41
"150690 Santarém Novo";-;-;-;-;-;1;3;10;-;-;-;-;14
"150700 Santo Antônio do Tauá";2;8;10;-;-;-;-;-;-;-;1;-;21
"150710 São Caetano de Odivelas";-;-;-;3;5;-;-;-;-;-;-;-;8
"150720 São Domingos do Capim";-;-;-;1;-;-;-;-;-;-;-;1;2
"150730 São Félix do Xingu";2;2;9;2;-;-;-;-;1;3;21;24;64
"150740 São Francisco do Pará";2;-;1;10;-;-;-;-;-;-;-;-;13
"150745 São Geraldo do Araguaia";-;-;1;2;1;-;-;-;-;-;-;1;5
"150746 São João da Ponta";-;-;1;1;-;-;-;-;-;-;-;-;2
"150747 São João de Pirabas";1;-;1;-;1;2;1;1;-;-;1;-;8
"150750 São João do Araguaia";16;3;6;15;8;3;3;4;1;10;7;7;83
"150760 São Miguel do Guamá";-;-;3;1;1;1;-;-;1;-;1;-;8
"150770 São Sebastião da Boa Vista";-;-;-;-;-;1;-;-;-;-;-;-;1
"150780 Senador José Porfírio";2;-;1;-;-;-;-;-;-;-;-;-;3
"150790 Soure";-;1;-;3;-;-;-;-;-;-;-;-;4
"150795 Tailândia";-;1;-;-;-;1;2;-;-;1;-;-;5
"150796 Terra Alta";-;-;1;17;2;1;-;-;-;1;-;-;22
"150800 Tomé-Açu";-;-;-;-;-;-;-;-;1;-;-;-;1
"150803 Tracuateua";2;3;3;2;-;-;-;-;2;1;-;-;13
"150810 Tucuruí";19;25;16;8;6;2;1;2;3;6;1;-;89
"150812 Ulianópolis";-;-;1;-;1;-;-;-;-;-;-;-;2
